imagename,cid,met
1,QmPdEScDCLgqeLRgZXNfbcXNGCPnhumRHmgb2Q4j11UJsX,QmeBvEDSeWBNXkSkwcUtKdXTiDnM9wa2jH23ehDwNwA2i1
1.140,QmYswPgN6FAXzb8S5Q43aovnKaiR3n4DPMqNZruZRbeWbq,QmQ1rk3xU3ns8DiTrCcwdsNiMyceHHN6xyffcMFDC12sr5
1.280,QmPZaV6SRpThHDiN337q7E8qkXedgBacSeH2qjpdKCUxZx,QmVZxrbAbpPhtvUhBRhe6hKwqkLVuPf2xfgdXNdnEZLNo1
1.310,QmRQuLUKZy4n9RCSJkfXLap5i3ipwX4mnHtgNk4GjNios3,QmTXjiRvLR36y2un5WV2v3X5aSuuU7dmxdk45zHM1FRqFF
1.max,QmUf15j5qPCoikBB6usPLrCSegze4dWDciRnmvwjYxirob,QmWcrqKVxwYNuzbhEmLBadvGqnDLWgmqQz85oQwjEVXcj8
2,QmNdWHh2icW3TRXyh5Mw5T6wp7Wr8mTz6xbL9LUpNhK96N,QmYthEfUFuF1dcKvTvZpzA9feMSrW7CKhE2PZbujprdtzM
2.140,QmUYenf67MMgth3s2AupKRU3gSDdaPcPB7AEnE7TrtNd6o,QmaDtt4HCkJhQ6cUwHJ3oPy12mHfdPeyBwNS1wcSq25t1p
2.280,QmZHS43LuEE8ycEg5HfRL2jaJ9DC2L1n3s6CeGaKWKav8N,QmVS9SiRtBEag5dNy6gfwJ2fZhSGSAjZAxcrfJdzqHWjta
2.310,QmbsGFxKsaxqsYCio86sTyHUfoqnTFkNsuJHd4YWNVbKmL,QmciKFudXtxV1RZmTJA9gk8RfStSXBoTDMNPXDxKxKr4si
2.max,QmTrVbQdFvd3y5pSPNuJqx4iQZVi7w9Hpoo5Sms7DunhmH,QmdwrPXhcHE8198vecc7EHemxnt4CEiwPRJtqZK92EWZbi
3.140,QmRFjKz4yiBhV22wfEEoR1ou9URUkL98zgnPv9v3C3jTpa,QmckAQQ4Xks7zzRNc2yRKmYsThKZ1sJhh6vrZiVbwewy5u
3.280,QmVwPFeHWbTWhYUf6Gs4m1EQDM5g1YfYzhHebCPiQjhsvs,QmbzJoxVPZHGYB7hVtyBC2Ge8RSZEfKHA1NHJgTmTR3wox
3.310,QmSiExJ9ghpJQcgG2ZkeSjrNkUgAWcTvffovEUzE17T61K,QmcFugYxC1irEDi1M8HWnV9hda27TaEfJaiRwgDjsRyUD1
3.max,QmQURjP7cxNZBH2F7TYhmXXMBpAuwsJpUwHnF8bh1dTNZs,QmX8YmhnsBiHmutUhhvrbq2TYmcbHcnsmHeGYJVXh7rC17
3,QmTADGwBZJzXg5L3mav45ZYeGRRdLBcfYijjVsTNibDHio,QmR25sxqDiLj67K3oUS3mbX2oN6sZkAUytfMvxTj2fAHwn
4.140,QmUwfcRerKGRsihxXQmzT6k2Jctq55go6vgUkwBmnFhDPA,QmQMas1wvQQwm9uHH8NyiTkDAnwyog1mB8pCKKcytrgkdy
4.280,QmZQ6Z9gbpGwR56KTLr2DbzZK7pn4nW1j3c92Ut5ixssFX,QmWDexxHm5tSsXLsixit9UWd3h294ZBrTjsEJrNvCqSMaF
4.310,QmYCP769btpgh1JKnCwFb2SrFqUBTEYFdKoBD4xeQ4iEvd,QmasZ3tdxwRYcLjPwMdN3hbgNeb1f2u1qehsuGpGuTWMKA
